games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Paris 1924,1.0,Norway,5,2,3,10,Paris ,1924,France,Norway,2729.0,4787.0,France,0
Chamonix 1924,0.0,Norway,4,7,6,17,Chamonix ,1924,France,Norway,2729.0,4787.0,France,0
Amsterdam 1928,1.0,Norway,1,2,1,4,Amsterdam ,1928,Netherlands,Norway,2785.0,5241.0,Netherlands,0
St. Moritz 1928,0.0,Norway,6,4,5,15,St. Moritz ,1928,Switzerland,Norway,2785.0,5241.0,Switzerland,0
Lake Placid 1932,0.0,Norway,3,4,3,10,Lake Placid ,1932,United States,Norway,2842.0,5526.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Norway,7,5,3,15,Garmisch-Partenkirchen ,1936,Germany,Norway,2904.0,6432.0,Germany,0
Berlin 1936,1.0,Norway,1,3,2,6,Berlin ,1936,Germany,Norway,2904.0,6432.0,Germany,0
St. Moritz 1948,0.0,Norway,4,3,3,10,St. Moritz ,1948,Switzerland,Norway,3201.0,8199.0,Switzerland,0
London 1948,1.0,Norway,1,3,3,7,London ,1948,United Kingdom,Norway,3201.0,8199.0,United Kingdom,0
Helsinki 1952,1.0,Norway,3,2,0,5,Helsinki ,1952,Finland,Norway,3328.0,9267.0,Finland,0
Oslo 1952,0.0,Norway,7,3,6,16,Oslo ,1952,Norway,Norway,3328.0,9267.0,Norway,1
Melbourne 1956,1.0,Norway,1,0,2,3,Melbourne ,1956,Australia,Norway,3460.0,10480.0,Australia,0
Squaw Valley 1960,0.0,Norway,3,3,0,6,Squaw Valley ,1960,United States,Norway,3581.0,11483.0,United States,0
Rome 1960,1.0,Norway,1,0,0,1,Rome ,1960,Italy,Norway,3581.0,11483.0,Italy,0
Innsbruck 1964,0.0,Norway,3,6,6,15,Innsbruck ,1964,Austria,Norway,3694.0,13256.0,Austria,0
Mexico City 1968,1.0,Norway,1,1,0,2,Mexico City ,1968,Mexico,Norway,3819.0,15224.0,Mexico,0
Grenoble 1968,0.0,Norway,6,6,2,14,Grenoble ,1968,France,Norway,3819.0,15224.0,France,0
Sapporo 1972,0.0,Norway,2,5,5,12,Sapporo ,1972,Japan,Norway,3933.0,17409.0,Japan,0
Munich 1972,1.0,Norway,2,1,1,4,Munich ,1972,Germany,Norway,3933.0,17409.0,Germany,0
Montreal 1976,1.0,Norway,1,1,0,2,Montreal ,1976,Canada,Norway,4026.0,20610.0,Canada,0
Innsbruck 1976,0.0,Norway,3,3,1,7,Innsbruck ,1976,Austria,Norway,4026.0,20610.0,Austria,0
Lake Placid 1980,0.0,Norway,1,3,6,10,Lake Placid ,1980,United States,Norway,4086.0,24031.0,United States,0
Sarajevo 1984,0.0,Norway,3,2,4,9,Sarajevo ,1984,Bosnia and Herzegovina,Norway,4140.0,26321.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Norway,0,1,2,3,Los Angeles ,1984,United States,Norway,4140.0,26321.0,United States,0
Seoul 1988,1.0,Norway,2,3,0,5,Seoul ,1988,South Korea,Norway,4209.0,28786.0,Republic of Korea,0
Calgary 1988,0.0,Norway,0,3,2,5,Calgary ,1988,Canada,Norway,4209.0,28786.0,Canada,0
Albertville 1992,0.0,Norway,9,6,5,20,Albertville ,1992,France,Norway,4287.0,33041.21,France,0
Barcelona 1992,1.0,Norway,2,4,1,7,Barcelona ,1992,Spain,Norway,4287.0,33041.21,Spain,0
Lillehammer 1994,0.0,Norway,10,11,5,26,Lillehammer ,1994,Norway,Norway,4337.0,37492.84,Norway,1
Atlanta 1996,1.0,Norway,2,2,3,7,Atlanta ,1996,United States,Norway,4382.0,43133.14,United States,0
Nagano 1998,0.0,Norway,10,10,5,25,Nagano ,1998,Japan,Norway,4432.0,48956.73,Japan,0
Sydney 2000,1.0,Norway,4,3,3,10,Sydney ,2000,Australia,Norway,4492.0,54039.96,Australia,0
Salt Lake City 2002,0.0,Norway,13,5,7,25,Salt Lake City ,2002,United States,Norway,4539.0,58840.41,United States,0
Athens 2004,1.0,Norway,5,0,1,6,Athens ,2004,Greece,Norway,4592.0,64824.14,Greece,0
Beijing 2008,1.0,Norway,3,5,1,9,Beijing ,2008,China,Norway,4769.0,76522.06,China,0
Vancouver 2010,0.0,Norway,9,8,6,23,Vancouver ,2010,Canada,Norway,4890.0,78476.15,Canada,0
London 2012,1.0,Norway,2,1,1,4,London ,2012,United Kingdom,Norway,5019.0,81759.0,United Kingdom,0
Sochi 2014,0.0,Norway,11,5,10,26,Sochi ,2014,Russia,Norway,5138.0,82216.0,Russian Federation,0
Rio 2016,1.0,Norway,0,0,4,4,Rio ,2016,Brazil,Norway,5235.0,82814.0,Brazil,0
PyeongChang 2018,0.0,Norway,14,14,11,39,PyeongChang ,2018,South Korea,Norway,5313.0,84580.14,Republic of Korea,0
Tokyo 2020,1.0,Norway,4,2,2,8,Tokyo ,2020,Japan,Norway,,,Japan,0
London 1908,1.0,Italy,2,2,0,4,London ,1908,United Kingdom,Italy,35899.0,3795.0,United Kingdom,0
Stockholm 1912,1.0,Italy,5,1,2,8,Stockholm ,1912,Sweden,Italy,37150.0,3875.0,Sweden,0
Antwerp 1920,1.0,Italy,14,6,5,25,Antwerp ,1920,Belgium,Italy,37398.0,3789.0,Belgium,0
Paris 1924,1.0,Italy,8,3,5,16,Paris ,1924,France,Italy,38810.0,4324.0,France,0
Amsterdam 1928,1.0,Italy,7,6,7,20,Amsterdam ,1928,Netherlands,Italy,40186.0,4693.0,Netherlands,0
Los Angeles 1932,1.0,Italy,12,12,12,36,Los Angeles ,1932,United States,Italy,41431.0,4602.0,United States,0
Berlin 1936,1.0,Italy,9,13,5,27,Berlin ,1936,Germany,Italy,42750.0,4471.0,Germany,0
St. Moritz 1948,0.0,Italy,1,0,0,1,St. Moritz ,1948,Switzerland,Italy,46381.0,4814.0,Switzerland,0
London 1948,1.0,Italy,9,12,10,31,London ,1948,United Kingdom,Italy,46381.0,4814.0,United Kingdom,0
Helsinki 1952,1.0,Italy,8,9,4,21,Helsinki ,1952,Finland,Italy,47666.0,6371.0,Finland,0
Oslo 1952,0.0,Italy,1,0,1,2,Oslo ,1952,Norway,Italy,47666.0,6371.0,Norway,0
Melbourne 1956,1.0,Italy,8,6,8,22,Melbourne ,1956,Australia,Italy,48921.0,7745.0,Australia,0
Squaw Valley 1960,0.0,Italy,0,0,1,1,Squaw Valley ,1960,United States,Italy,50198.0,9430.0,United States,0
Rome 1960,1.0,Italy,13,10,13,36,Rome ,1960,Italy,Italy,50198.0,9430.0,Italy,1
Innsbruck 1964,0.0,Italy,0,1,3,4,Innsbruck ,1964,Austria,Italy,51600.0,11934.0,Austria,0
Tokyo 1964,1.0,Italy,10,10,7,27,Tokyo ,1964,Japan,Italy,51600.0,11934.0,Japan,0
Mexico City 1968,1.0,Italy,3,4,9,16,Mexico City ,1968,Mexico,Italy,52987.0,14513.0,Mexico,0
Grenoble 1968,0.0,Italy,4,0,0,4,Grenoble ,1968,France,Italy,52987.0,14513.0,France,0
Sapporo 1972,0.0,Italy,2,2,1,5,Sapporo ,1972,Japan,Italy,54366.0,16035.0,Japan,0
Munich 1972,1.0,Italy,5,3,10,18,Munich ,1972,Germany,Italy,54366.0,16035.0,Germany,0
Montreal 1976,1.0,Italy,2,7,4,13,Montreal ,1976,Canada,Italy,55839.0,18147.0,Canada,0
Innsbruck 1976,0.0,Italy,1,2,1,4,Innsbruck ,1976,Austria,Italy,55839.0,18147.0,Austria,0
Moscow 1980,1.0,Italy,8,3,4,15,Moscow ,1980,Russia,Italy,56451.0,20959.0,Russian Federation,0
Lake Placid 1980,0.0,Italy,0,2,0,2,Lake Placid ,1980,United States,Italy,56451.0,20959.0,United States,0
Sarajevo 1984,0.0,Italy,2,0,0,2,Sarajevo ,1984,Bosnia and Herzegovina,Italy,56697.0,21868.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Italy,14,6,12,32,Los Angeles ,1984,United States,Italy,56697.0,21868.0,United States,0
Seoul 1988,1.0,Italy,6,4,4,14,Seoul ,1988,South Korea,Italy,56734.0,24743.0,Republic of Korea,0
Calgary 1988,0.0,Italy,2,1,2,5,Calgary ,1988,Canada,Italy,56734.0,24743.0,Canada,0
Albertville 1992,0.0,Italy,4,6,4,14,Albertville ,1992,France,Italy,56821.0,26960.61,France,0
Barcelona 1992,1.0,Italy,6,5,8,19,Barcelona ,1992,Spain,Italy,56821.0,26960.61,Spain,0
Lillehammer 1994,0.0,Italy,7,5,8,20,Lillehammer ,1994,Norway,Italy,56867.0,27668.26,Norway,0
Atlanta 1996,1.0,Italy,13,10,12,35,Atlanta ,1996,United States,Italy,56884.0,29231.28,United States,0
Nagano 1998,0.0,Italy,2,6,2,10,Nagano ,1998,Japan,Italy,56930.0,30649.63,Japan,0
Sydney 2000,1.0,Italy,13,8,13,34,Sydney ,2000,Australia,Italy,56966.0,32716.98,Australia,0
Salt Lake City 2002,0.0,Italy,4,4,5,13,Salt Lake City ,2002,United States,Italy,57083.0,33780.05,United States,0
Athens 2004,1.0,Italy,10,11,11,32,Athens ,2004,Greece,Italy,57709.0,34472.13,Greece,0
Beijing 2008,1.0,Italy,8,9,10,27,Beijing ,2008,China,Italy,58851.0,35942.94,China,0
Vancouver 2010,0.0,Italy,1,1,3,5,Vancouver ,2010,Canada,Italy,59302.0,34765.94,Canada,0
London 2012,1.0,Italy,8,9,11,28,London ,2012,United Kingdom,Italy,59565.0,34068.0,United Kingdom,0
Sochi 2014,0.0,Italy,0,2,6,8,Sochi ,2014,Russia,Italy,60814.0,32829.0,Russian Federation,0
Rio 2016,1.0,Italy,8,12,8,28,Rio ,2016,Brazil,Italy,60653.0,33419.0,Brazil,0
PyeongChang 2018,0.0,Italy,3,2,5,10,PyeongChang ,2018,South Korea,Italy,60447.0,34364.17,Republic of Korea,0
Tokyo 2020,1.0,Italy,10,10,20,40,Tokyo ,2020,Japan,Italy,,,Japan,0
London 1908,1.0,Belgium,1,5,2,8,London ,1908,United Kingdom,Belgium,7411.0,6269.0,United Kingdom,0
Stockholm 1912,1.0,Belgium,2,1,3,6,Stockholm ,1912,Sweden,Belgium,7590.0,6704.0,Sweden,0
Antwerp 1920,1.0,Belgium,16,12,14,42,Antwerp ,1920,Belgium,Belgium,7552.0,6315.0,Belgium,1
Paris 1924,1.0,Belgium,3,7,3,13,Paris ,1924,France,Belgium,7707.0,7393.0,France,0
Chamonix 1924,0.0,Belgium,0,0,1,1,Chamonix ,1924,France,Belgium,7707.0,7393.0,France,0
Amsterdam 1928,1.0,Belgium,0,1,2,3,Amsterdam ,1928,Netherlands,Belgium,7968.0,8191.0,Netherlands,0
St. Moritz 1928,0.0,Belgium,0,0,1,1,St. Moritz ,1928,Switzerland,Belgium,7968.0,8191.0,Switzerland,0
Los Angeles 1932,1.0,Belgium,0,0,1,1,Los Angeles ,1932,United States,Belgium,8186.0,7343.0,United States,0
Berlin 1936,1.0,Belgium,0,0,3,3,Berlin ,1936,Germany,Belgium,8315.0,7831.0,Germany,0
St. Moritz 1948,0.0,Belgium,1,1,0,2,St. Moritz ,1948,Switzerland,Belgium,8557.0,8008.0,Switzerland,0
London 1948,1.0,Belgium,2,2,3,7,London ,1948,United Kingdom,Belgium,8557.0,8008.0,United Kingdom,0
Helsinki 1952,1.0,Belgium,2,2,0,4,Helsinki ,1952,Finland,Belgium,8730.0,9035.0,Finland,0
Melbourne 1956,1.0,Belgium,0,2,0,2,Melbourne ,1956,Australia,Belgium,8924.0,10237.0,Australia,0
Rome 1960,1.0,Belgium,0,2,2,4,Rome ,1960,Italy,Belgium,9119.0,11081.0,Italy,0
Tokyo 1964,1.0,Belgium,2,0,1,3,Tokyo ,1964,Japan,Belgium,9367.0,13295.0,Japan,0
Mexico City 1968,1.0,Belgium,0,1,1,2,Mexico City ,1968,Mexico,Belgium,9590.0,15009.0,Mexico,0
Munich 1972,1.0,Belgium,0,2,0,2,Munich ,1972,Germany,Belgium,9709.0,18336.0,Germany,0
Montreal 1976,1.0,Belgium,0,3,3,6,Montreal ,1976,Canada,Belgium,9811.0,20916.0,Canada,0
Moscow 1980,1.0,Belgium,1,0,0,1,Moscow ,1980,Russia,Belgium,9847.0,23060.0,Russian Federation,0
Los Angeles 1984,1.0,Belgium,1,1,2,4,Los Angeles ,1984,United States,Belgium,9855.0,23644.0,United States,0
Seoul 1988,1.0,Belgium,0,0,2,2,Seoul ,1988,South Korea,Belgium,9884.0,25905.0,Republic of Korea,0
Barcelona 1992,1.0,Belgium,0,1,2,3,Barcelona ,1992,Spain,Belgium,10047.0,28199.57,Spain,0
Atlanta 1996,1.0,Belgium,2,2,2,6,Atlanta ,1996,United States,Belgium,10159.0,29820.3,United States,0
Nagano 1998,0.0,Belgium,0,0,1,1,Nagano ,1998,Japan,Belgium,10205.0,31480.74,Japan,0
Sydney 2000,1.0,Belgium,0,2,3,5,Sydney ,2000,Australia,Belgium,10253.0,33719.77,Australia,0
Athens 2004,1.0,Belgium,1,0,2,3,Athens ,2004,Greece,Belgium,10423.0,35740.35,Greece,0
Beijing 2008,1.0,Belgium,2,0,0,2,Beijing ,2008,China,Belgium,10712.0,38117.35,China,0
London 2012,1.0,Belgium,0,1,2,3,London ,2012,United Kingdom,Belgium,11109.0,37906.0,United Kingdom,0
Rio 2016,1.0,Belgium,2,2,2,6,Rio ,2016,Brazil,Belgium,11334.0,38766.0,Brazil,0
PyeongChang 2018,0.0,Belgium,0,1,0,1,PyeongChang ,2018,South Korea,Belgium,11429.0,39756.2,Republic of Korea,0
Tokyo 2020,1.0,Belgium,3,1,3,7,Tokyo ,2020,Japan,Belgium,,,Japan,0
London 1908,1.0,Australasia,1,2,2,5,London ,1908,United Kingdom,,,,United Kingdom,0
Stockholm 1912,1.0,Australasia,2,2,3,7,Stockholm ,1912,Sweden,,,,Sweden,0
London 1908,1.0,Russian Federation,1,2,0,3,London ,1908,United Kingdom,Russian Federation,,,United Kingdom,0
Stockholm 1912,1.0,Russian Federation,0,2,3,5,Stockholm ,1912,Sweden,Russian Federation,,,Sweden,0
Lillehammer 1994,0.0,Russian Federation,11,8,4,23,Lillehammer ,1994,Norway,Russian Federation,148173.0,8743.75,Norway,0
Atlanta 1996,1.0,Russian Federation,26,21,16,63,Atlanta ,1996,United States,Russian Federation,147973.0,8479.38,United States,0
Nagano 1998,0.0,Russian Federation,9,6,3,18,Nagano ,1998,Japan,Russian Federation,147175.0,8557.5,Japan,0
Sydney 2000,1.0,Russian Federation,32,28,29,89,Sydney ,2000,Australia,Russian Federation,145977.0,10552.88,Australia,0
Salt Lake City 2002,0.0,Russian Federation,5,4,4,13,Salt Lake City ,2002,United States,Russian Federation,144680.0,12259.48,United States,0
Athens 2004,1.0,Russian Federation,28,26,36,90,Athens ,2004,Greece,Russian Federation,143483.0,14880.98,Greece,0
Beijing 2008,1.0,Russian Federation,24,13,23,60,Beijing ,2008,China,Russian Federation,142385.0,21563.46,China,0
Vancouver 2010,0.0,Russian Federation,3,5,7,15,Vancouver ,2010,Canada,Russian Federation,142585.0,21737.38,Canada,0
London 2012,1.0,Russian Federation,20,19,28,67,London ,2012,United Kingdom,Russian Federation,142984.0,23931.0,United Kingdom,0
Sochi 2014,0.0,Russian Federation,11,9,9,29,Sochi ,2014,Russia,Russian Federation,145977.0,24387.0,Russian Federation,1
Rio 2016,1.0,Russian Federation,19,17,20,56,Rio ,2016,Brazil,Russian Federation,146476.0,23635.0,Brazil,0
London 1908,1.0,Finland,1,1,3,5,London ,1908,United Kingdom,Finland,2861.0,2915.0,United Kingdom,0
Stockholm 1912,1.0,Finland,9,8,9,26,Stockholm ,1912,Sweden,Finland,2998.0,3223.0,Sweden,0
Antwerp 1920,1.0,Finland,15,10,9,34,Antwerp ,1920,Belgium,Finland,3133.0,2942.0,Belgium,0
Paris 1924,1.0,Finland,14,13,10,37,Paris ,1924,France,Finland,3272.0,3545.0,France,0
Chamonix 1924,0.0,Finland,4,4,3,11,Chamonix ,1924,France,Finland,3272.0,3545.0,France,0
Amsterdam 1928,1.0,Finland,8,8,9,25,Amsterdam ,1928,Netherlands,Finland,3396.0,4315.0,Netherlands,0
St. Moritz 1928,0.0,Finland,2,1,1,4,St. Moritz ,1928,Switzerland,Finland,3396.0,4315.0,Switzerland,0
Lake Placid 1932,0.0,Finland,1,1,1,3,Lake Placid ,1932,United States,Finland,3503.0,4065.0,United States,0
Los Angeles 1932,1.0,Finland,5,8,12,25,Los Angeles ,1932,United States,Finland,3503.0,4065.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Finland,1,2,3,6,Garmisch-Partenkirchen ,1936,Germany,Finland,3601.0,5227.0,Germany,0
Berlin 1936,1.0,Finland,8,6,6,20,Berlin ,1936,Germany,Finland,3601.0,5227.0,Germany,0
St. Moritz 1948,0.0,Finland,1,3,2,6,St. Moritz ,1948,Switzerland,Finland,3912.0,6307.0,Switzerland,0
London 1948,1.0,Finland,10,8,6,24,London ,1948,United Kingdom,Finland,3912.0,6307.0,United Kingdom,0
Helsinki 1952,1.0,Finland,6,3,13,22,Helsinki ,1952,Finland,Finland,4091.0,7450.0,Finland,1
Oslo 1952,0.0,Finland,3,4,2,9,Oslo ,1952,Norway,Finland,4091.0,7450.0,Norway,0
Melbourne 1956,1.0,Finland,3,1,11,15,Melbourne ,1956,Australia,Finland,4282.0,8440.0,Australia,0
Squaw Valley 1960,0.0,Finland,2,3,3,8,Squaw Valley ,1960,United States,Finland,4430.0,9931.0,United States,0
Rome 1960,1.0,Finland,1,1,3,5,Rome ,1960,Italy,Finland,4430.0,9931.0,Italy,0
Innsbruck 1964,0.0,Finland,3,4,3,10,Innsbruck ,1964,Austria,Finland,4549.0,11647.0,Austria,0
Tokyo 1964,1.0,Finland,3,0,2,5,Tokyo ,1964,Japan,Finland,4549.0,11647.0,Japan,0
Mexico City 1968,1.0,Finland,1,2,1,4,Mexico City ,1968,Mexico,Finland,4626.0,12900.0,Mexico,0
Grenoble 1968,0.0,Finland,1,2,2,5,Grenoble ,1968,France,Finland,4626.0,12900.0,France,0
Sapporo 1972,0.0,Finland,0,4,1,5,Sapporo ,1972,Japan,Finland,4640.0,16654.0,Japan,0
Munich 1972,1.0,Finland,3,1,4,8,Munich ,1972,Germany,Finland,4640.0,16654.0,Germany,0
Montreal 1976,1.0,Finland,4,2,0,6,Montreal ,1976,Canada,Finland,4726.0,18104.0,Canada,0
Innsbruck 1976,0.0,Finland,2,4,1,7,Innsbruck ,1976,Austria,Finland,4726.0,18104.0,Austria,0
Moscow 1980,1.0,Finland,3,1,4,8,Moscow ,1980,Russia,Finland,4780.0,20640.0,Russian Federation,0
Lake Placid 1980,0.0,Finland,1,5,3,9,Lake Placid ,1980,United States,Finland,4780.0,20640.0,United States,0
Sarajevo 1984,0.0,Finland,4,3,6,13,Sarajevo ,1984,Bosnia and Herzegovina,Finland,4882.0,22486.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Finland,4,2,6,12,Los Angeles ,1984,United States,Finland,4882.0,22486.0,United States,0
Seoul 1988,1.0,Finland,1,1,2,4,Seoul ,1988,South Korea,Finland,4947.0,25644.0,Republic of Korea,0
Calgary 1988,0.0,Finland,4,1,2,7,Calgary ,1988,Canada,Finland,4947.0,25644.0,Canada,0
Albertville 1992,0.0,Finland,3,1,3,7,Albertville ,1992,France,Finland,5042.0,24219.76,France,0
Barcelona 1992,1.0,Finland,1,2,2,5,Barcelona ,1992,Spain,Finland,5042.0,24219.76,Spain,0
Lillehammer 1994,0.0,Finland,0,1,5,6,Lillehammer ,1994,Norway,Finland,5088.0,24797.66,Norway,0
Atlanta 1996,1.0,Finland,1,2,1,4,Atlanta ,1996,United States,Finland,5125.0,26637.27,United States,0
Nagano 1998,0.0,Finland,2,4,6,12,Nagano ,1998,Japan,Finland,5153.0,29715.34,Japan,0
Sydney 2000,1.0,Finland,2,1,1,4,Sydney ,2000,Australia,Finland,5176.0,32689.77,Australia,0
Salt Lake City 2002,0.0,Finland,4,2,1,7,Salt Lake City ,2002,United States,Finland,5201.0,33986.55,United States,0
Athens 2004,1.0,Finland,0,2,0,2,Athens ,2004,Greece,Finland,5228.0,35888.61,Greece,0
Beijing 2008,1.0,Finland,1,1,2,4,Beijing ,2008,China,Finland,5313.0,40129.65,China,0
Vancouver 2010,0.0,Finland,0,1,4,5,Vancouver ,2010,Canada,Finland,5363.0,37615.11,Canada,0
London 2012,1.0,Finland,0,2,1,3,London ,2012,United Kingdom,Finland,5414.0,37704.0,United Kingdom,0
Sochi 2014,0.0,Finland,1,3,1,5,Sochi ,2014,Russia,Finland,5462.0,36858.0,Russian Federation,0
Rio 2016,1.0,Finland,0,0,1,1,Rio ,2016,Brazil,Finland,5495.0,37239.0,Brazil,0
PyeongChang 2018,0.0,Finland,1,1,4,6,PyeongChang ,2018,South Korea,Finland,5516.0,38896.7,Republic of Korea,0
Tokyo 2020,1.0,Finland,0,0,2,2,Tokyo ,2020,Japan,Finland,,,Japan,0
London 1908,1.0,South Africa,1,1,0,2,London ,1908,United Kingdom,South Africa,5733.697674418605,2283.0,United Kingdom,0
Stockholm 1912,1.0,South Africa,4,2,0,6,Stockholm ,1912,Sweden,South Africa,6069.139534883721,1839.75,Sweden,0
Antwerp 1920,1.0,South Africa,3,4,3,10,Antwerp ,1920,Belgium,South Africa,7561.135135135135,1915.0,Belgium,0
Paris 1924,1.0,South Africa,1,1,1,3,Paris ,1924,France,South Africa,8365.783783783783,2037.0,France,0
Amsterdam 1928,1.0,South Africa,1,0,2,3,Amsterdam ,1928,Netherlands,South Africa,9170.432432432433,2444.0,Netherlands,0
Los Angeles 1932,1.0,South Africa,2,0,3,5,Los Angeles ,1932,United States,South Africa,9975.081081081082,2047.0,United States,0
Berlin 1936,1.0,South Africa,0,1,0,1,Berlin ,1936,Germany,South Africa,10779.72972972973,3048.0,Germany,0
London 1948,1.0,South Africa,2,2,2,6,London ,1948,United Kingdom,South Africa,13193.675675675677,3848.0,United Kingdom,0
Helsinki 1952,1.0,South Africa,2,4,4,10,Helsinki ,1952,Finland,South Africa,14265.0,4175.0,Finland,0
Melbourne 1956,1.0,South Africa,0,0,4,4,Melbourne ,1956,Australia,South Africa,15755.0,4645.0,Australia,0
Rome 1960,1.0,South Africa,0,1,2,3,Rome ,1960,Italy,South Africa,17417.0,4847.0,Italy,0
Barcelona 1992,1.0,South Africa,0,2,0,2,Barcelona ,1992,Spain,South Africa,40079.0,5901.98,Spain,0
Atlanta 1996,1.0,South Africa,3,1,1,5,Atlanta ,1996,United States,South Africa,42643.0,6725.79,United States,0
Sydney 2000,1.0,South Africa,0,2,3,5,Sydney ,2000,Australia,South Africa,44882.0,7582.78,Australia,0
Athens 2004,1.0,South Africa,1,3,2,6,Athens ,2004,Greece,South Africa,47406.0,8877.92,Greece,0
Beijing 2008,1.0,South Africa,0,1,0,1,Beijing ,2008,China,South Africa,49990.0,10977.15,China,0
London 2012,1.0,South Africa,4,1,1,6,London ,2012,United Kingdom,South Africa,51877.0,11992.0,United Kingdom,0
Rio 2016,1.0,South Africa,2,6,2,10,Rio ,2016,Brazil,South Africa,54263.0,12139.0,Brazil,0
Tokyo 2020,1.0,South Africa,1,2,0,3,Tokyo ,2020,Japan,South Africa,,,Japan,0
London 1908,1.0,Netherlands,0,0,2,2,London ,1908,United Kingdom,Netherlands,5786.0,5628.0,United Kingdom,0
Stockholm 1912,1.0,Netherlands,0,0,3,3,Stockholm ,1912,Sweden,Netherlands,6068.0,6245.0,Sweden,0
Antwerp 1920,1.0,Netherlands,4,2,5,11,Antwerp ,1920,Belgium,Netherlands,6848.0,6727.0,Belgium,0
Paris 1924,1.0,Netherlands,4,1,6,11,Paris ,1924,France,Netherlands,7264.0,7803.0,France,0
Amsterdam 1928,1.0,Netherlands,8,10,5,23,Amsterdam ,1928,Netherlands,Netherlands,7679.0,9118.0,Netherlands,1
Los Angeles 1932,1.0,Netherlands,2,5,1,8,Los Angeles ,1932,United States,Netherlands,8123.0,8026.0,United States,0
Berlin 1936,1.0,Netherlands,6,4,7,17,Berlin ,1936,Germany,Netherlands,8516.0,8273.0,Germany,0
London 1948,1.0,Netherlands,5,2,9,16,London ,1948,United Kingdom,Netherlands,9800.0,8751.0,United Kingdom,0
Helsinki 1952,1.0,Netherlands,0,5,0,5,Helsinki ,1952,Finland,Netherlands,10382.0,9698.0,Finland,0
Oslo 1952,0.0,Netherlands,0,3,0,3,Oslo ,1952,Norway,Netherlands,10382.0,9698.0,Norway,0
Squaw Valley 1960,0.0,Netherlands,0,1,1,2,Squaw Valley ,1960,United States,Netherlands,11486.0,13209.0,United States,0
Rome 1960,1.0,Netherlands,0,1,2,3,Rome ,1960,Italy,Netherlands,11486.0,13209.0,Italy,0
Innsbruck 1964,0.0,Netherlands,1,1,0,2,Innsbruck ,1964,Austria,Netherlands,12127.0,15042.0,Austria,0
Tokyo 1964,1.0,Netherlands,2,4,4,10,Tokyo ,1964,Japan,Netherlands,12127.0,15042.0,Japan,0
Mexico City 1968,1.0,Netherlands,3,3,1,7,Mexico City ,1968,Mexico,Netherlands,12725.0,17365.0,Mexico,0
Grenoble 1968,0.0,Netherlands,3,3,3,9,Grenoble ,1968,France,Netherlands,12725.0,17365.0,France,0
Sapporo 1972,0.0,Netherlands,4,3,2,9,Sapporo ,1972,Japan,Netherlands,13330.0,20079.0,Japan,0
Munich 1972,1.0,Netherlands,3,1,1,5,Munich ,1972,Germany,Netherlands,13330.0,20079.0,Germany,0
Montreal 1976,1.0,Netherlands,0,2,3,5,Montreal ,1976,Canada,Netherlands,13770.0,22132.0,Canada,0
Innsbruck 1976,0.0,Netherlands,1,2,3,6,Innsbruck ,1976,Austria,Netherlands,13770.0,22132.0,Austria,0
Moscow 1980,1.0,Netherlands,0,1,2,3,Moscow ,1980,Russia,Netherlands,14144.0,23438.0,Russian Federation,0
Lake Placid 1980,0.0,Netherlands,1,2,1,4,Lake Placid ,1980,United States,Netherlands,14144.0,23438.0,United States,0
Los Angeles 1984,1.0,Netherlands,5,2,6,13,Los Angeles ,1984,United States,Netherlands,14420.0,23750.0,United States,0
Seoul 1988,1.0,Netherlands,2,2,5,9,Seoul ,1988,South Korea,Netherlands,14761.0,25574.0,Republic of Korea,0
Calgary 1988,0.0,Netherlands,3,2,2,7,Calgary ,1988,Canada,Netherlands,14761.0,25574.0,Canada,0
Albertville 1992,0.0,Netherlands,1,1,2,4,Albertville ,1992,France,Netherlands,15184.0,28555.73,France,0
Barcelona 1992,1.0,Netherlands,2,6,7,15,Barcelona ,1992,Spain,Netherlands,15184.0,28555.73,Spain,0
Lillehammer 1994,0.0,Netherlands,0,1,3,4,Lillehammer ,1994,Norway,Netherlands,15383.0,29727.56,Norway,0
Atlanta 1996,1.0,Netherlands,4,5,10,19,Atlanta ,1996,United States,Netherlands,15530.0,31811.74,United States,0
Nagano 1998,0.0,Netherlands,5,4,2,11,Nagano ,1998,Japan,Netherlands,15707.0,34688.55,Japan,0
Sydney 2000,1.0,Netherlands,12,9,4,25,Sydney ,2000,Australia,Netherlands,15926.0,37899.95,Australia,0
Salt Lake City 2002,0.0,Netherlands,3,5,0,8,Salt Lake City ,2002,United States,Netherlands,16149.0,38653.12,United States,0
Athens 2004,1.0,Netherlands,4,9,9,22,Athens ,2004,Greece,Netherlands,16282.0,39682.38,Greece,0
Beijing 2008,1.0,Netherlands,7,5,4,16,Beijing ,2008,China,Netherlands,16446.0,44840.71,China,0
Vancouver 2010,0.0,Netherlands,4,1,3,8,Vancouver ,2010,Canada,Netherlands,16615.0,43812.35,Canada,0
London 2012,1.0,Netherlands,6,6,8,20,London ,2012,United Kingdom,Netherlands,16755.0,43957.0,United Kingdom,0
